index,Unnamed: 0,Datetime,Tweet Id,Text,Username,Verified Status,Follower Count,Location,Reply Counts,Retweet Counts,Like Count,Media,Keyword,Year
714328,35220,2019-12-19 23:56:42+00:00,1207812029752340481,I love how climate change continues to be leading all social commentary despite all the forces of the MSM lubed up against it. Sure we get lots of denial and propaganda but the message will eventually cut through. I wouldn't but shares in coal right now,s0mas0ma1,False,66.0,,0.0,0.0,0.0,,climatechange,2019
19600,19604,2018-07-16 23:58:15+00:00,1019008341828239360,roselli-on-sustainable-reuse   via  ,ansusskind,False,45.0,tamarama,0.0,0.0,0.0,,sustainable,2018
57612,21114,2019-07-31 23:53:46+00:00,1156714601964195840,Sustainable grain production is created where the practice change is profitable for our grain growers   agic2019  ,jcroz29,False,847.0,Sydney,0.0,0.0,4.0,"[Photo(previewUrl='https://pbs.twimg.com/media/EA15y20VUAE9HFS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EA15y20VUAE9HFS?format=jpg&name=large')]",sustainable,2019
228100,26193,2019-09-19 23:29:44+00:00,1174827945950683138,"Thats why nothing changes in matters of global warming: the world leaders are bought by the oil companies. Politicians are corrupt from the bottom of their greedy hearts. In the case of Obama it wasnt only the oil companies he worked for, but also the arms industry.  ",AdvokatNoll,False,624.0,"Falknerstrasse 3, 4001 Basel",1.0,0.0,0.0,,globalwarming,2019
39583,3085,2019-01-31 23:30:20+00:00,1091116501527089152,It's Bristol Bay Wild Caught Salmon to the rescue when you want healthy recipes for your football party this weekend. Make these Super Bowl Salmon Sliders sustainable traceable delicious       ,smileymoet,False,2865.0,"San Antonio, Texas",0.0,0.0,0.0,"[Photo(previewUrl='https://pbs.twimg.com/media/DyRsrN4XgAYVbB0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DyRsrN4XgAYVbB0?format=jpg&name=large')]",sustainable,2019
169265,3847,2018-02-08 23:38:06+00:00,961745986665160704,"    Actually, we need the oil GONE if anyone is going to survive. R U in denial about the global warming CATASTROPHE? Ppl will adjustto no oil.",pauljimerson,False,8808.0,"Santa Cruz, California",1.0,0.0,0.0,,globalwarming,2018
753615,1407,2021-01-15 23:58:57+00:00,1350231028753956866,Climate change matters!  ,pink5panda,False,3.0,United States,0.0,0.0,0.0,"[Photo(previewUrl='https://pbs.twimg.com/media/Erz77M9XIAI-5BG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Erz77M9XIAI-5BG?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Erz771RW4AQs4DX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Erz771RW4AQs4DX?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Erz78wBXYAAiZOk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Erz78wBXYAAiZOk?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Erz79C6XcAAV6qj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Erz79C6XcAAV6qj?format=jpg&name=large')]",climatechange,2021
41472,4974,2019-02-19 23:33:17+00:00,1098002612312395776,"Vanuatu is leading the way, genuinely and with the urgency it requires. Fiji despite having a huge international profile on environmental sustainable approaches have not done much.  ",Roshikadeo,False,6739.0,Fiji,0.0,4.0,26.0,,sustainable,2019
227382,25475,2019-09-12 23:25:35+00:00,1172290188216692736,"  Global warming, climate change, climate crisis, climate emergency to all normal people its called the weather and you'll never control it no matter how many wind turbines, solar panels or electric cars there are    ",mcgrath_a,False,177.0,"Perth, Western Australia",0.0,2.0,4.0,,globalwarming,2019
193150,27753,2018-10-05 23:13:40+00:00,1048350539191394304,In 64 years from now cats will be underwater due to global warming and we will be incredibly scared. What a shocking time that will be! What will be next? ,Grace75646541,False,6.0,,0.0,0.0,0.0,,globalwarming,2018
546277,13207,2019-05-13 22:09:42+00:00,1128059772144619520,ClimateChangeTheFacts ClimateAction ClimateCrisis ClimateChange GlobalWarming MondayThought  ,AMHolmes0428,False,1182.0,"Dearborn, MI",0.0,0.0,0.0,,ClimateCrisis,2019
89285,16287,2020-06-11 23:25:23+00:00,1271222025210810369,"Join   on Friday, June 26th, 2020, 12:00 PM EDT for a conversation with Cameron Plese, Deputy US Rep for   Cameron will speak on the promotion and use of sustainable oil palm products and his personal career journey.      ",ConsFinance,False,2999.0,"Washington, DC",0.0,2.0,4.0,"[Photo(previewUrl='https://pbs.twimg.com/media/EaRJSesXkAg73ZH?format=png&name=small', fullUrl='https://pbs.twimg.com/media/EaRJSesXkAg73ZH?format=png&name=large')]",sustainable,2020
842892,7432,2019-07-23 06:53:50+00:00,1153558823078117376,We love working towards a goal. And climbing up a steep hill. carbonneutral by 2038. bringiton  ,MarketingLuma,False,877.0,Manchester ,0.0,0.0,0.0,,carbonneutral,2019
11195,11197,2018-04-22 23:19:47+00:00,988195690479157248,A TOTALLY TRANSPARENT TOTALLY EDUCATION and EQUALITY BASED TOTALLY SUSTAINABLE GLOBAL CO-OP! A GLOBAL MISSION STATEMENT WRITTEN FOR ALL BY ALL!,saveearth1928,False,1192.0,Melbourne,1.0,1.0,1.0,,sustainable,2018
266231,27823,2020-10-05 23:38:13+00:00,1313262245745364992,"  It's the same as treating global warming as an individualist problem. I can be as responsible as humanly possible, but it doesn't matter at all if I'm surrounded by people who don't give a shit.",Beigemoth,False,437.0,"Seattle, WA",1.0,0.0,1.0,,globalwarming,2020
189292,23895,2018-08-27 23:04:52+00:00,1034215195868946433,"  Pope francis always has lots to say about global warming, the peacefulness of Islam, the evils of guns, capitalism, populist governments etc etc. Yet now the cat's got his tongue. I wonder why.",dmbman0077,False,593.0,Canada,0.0,0.0,0.0,,globalwarming,2018
646764,4157,2018-02-11 23:49:58+00:00,962836137654894593,          Maybe climate change doesn't suit your agenda. Or Rowans. The mans a joke.,dingbattus,False,87.0,Norf,1.0,0.0,0.0,,climatechange,2018
696522,17414,2019-06-24 23:58:21+00:00,1143307406270709762,AOC Blames Oil Refinery Explosion on Climate Change | Breitbart   via  ,PsyBri,False,97.0,"Columbus, OH",0.0,0.0,0.0,,climatechange,2019
868652,18246,2020-12-10 17:00:39+00:00,1337079793603506178,"Maura Hodge (  participated in a 1-2-1 interview contributing to our joint report with   Climate Change and Corporate Value, What companies really think. Thank you Maura! ClimateResilience CarbonNeutral ClimateRisk NetZero Decarbonization    ",ESgloballaw,True,27188.0,Global,0.0,0.0,0.0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1337079760258813955/pu/img/AHpRkcDnOXh2Q0xo.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1337079760258813955/pu/vid/480x270/H5iHG8iAJUTMuEg3.mp4?tag=10', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1337079760258813955/pu/vid/1280x720/1McQptTZgxIPF7Xi.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1337079760258813955/pu/pl/3t8BfpbCMZSNpGLA.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1337079760258813955/pu/vid/640x360/HfqMBZg2HNg2MMT5.mp4?tag=10', bitrate=832000)], duration=24.925, views=37)]",carbonneutral,2020
92072,19074,2020-07-09 23:33:31+00:00,1281370932301496320,    Don't worry he doesn't own it but he will be sending £300k of your tax generated grant money back to Germany for 5 years and then he will but another one.. bleeding the country dry.. sustainable farming tho ! Right !,SlepnerU,False,6.0,,0.0,0.0,1.0,,sustainable,2020
514286,28857,2021-10-16 22:38:43+00:00,1449505110980239363,  GOOD.  There is no Planet B.  ClimateEmergency,sylviatx,False,4151.0,"Waco, Texas",0.0,0.0,1.0,,ClimateEmergency,2021
822367,10016,2021-08-26 08:00:24+00:00,1430802294107516933,Amazon: regrowing forests have offset less than 10% of carbon emissions from deforestation   geographyteacher Amazon carbonemissions  ,OCR_Geography,False,3726.0,Cambridge/Coventry,0.0,3.0,1.0,,carbonemissions,2021
85207,12209,2020-05-02 23:54:31+00:00,1256733841932206080,Travel Hack: The Best Solid Toiletries for Sustainable Travel   via  ,DomAdventures,False,77.0,,0.0,0.0,0.0,,sustainable,2020
220507,18600,2019-07-05 23:16:00+00:00,1147283014340288512,What common misconception do you hate to hear repeated as fact?  that global warming and climate change is fake. it's literally happening rn wake tf up  ,roseyxruby,False,418.0,she/they,0.0,0.0,0.0,,globalwarming,2019
579107,9597,2020-04-05 19:21:12+00:00,1246880587253776390,  the stunning indigenous model is my New work in progress. One goal at a time. artist climatechange artwork paintinginprogress fashion globalcrisis climatecrisis quarantinelife isolationart dailyartchallenge instagood cbcarts    ,parkerstreetart,False,168.0,Vancouver BC,0.0,1.0,1.0,"[Photo(previewUrl='https://pbs.twimg.com/media/EU3PSVYX0AUeyN0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EU3PSVYX0AUeyN0?format=jpg&name=large')]",ClimateCrisis,2020
645903,3293,2018-02-02 23:43:05+00:00,959572916231798784,More than a thousand military sites vulnerable to climate change ... -    ,CLIMATECHANGE8,False,5217.0,,0.0,0.0,1.0,,climatechange,2018
290960,15952,2021-06-09 23:42:32+00:00,1402773136148291587,"  Below is a life project that can help the global warming problem, hope someone can help    1.The only one self-powered pure electric vehicles product in the world!  This invention can use in any electric vehicles   2. I have the  best carbon capture technology in the world!",BruceCh09010754,False,2.0,,0.0,0.0,0.0,,globalwarming,2021
112520,2922,2021-01-30 23:51:58+00:00,1355665086166265857,"                  what's the theory of change, though? like, yeah, we could just dump all our $$$ on the NEC and a handful of midwestern routes, but that's neither politically sustainable or good network planning",A320Lga,False,6289.0,Across the Harbor from Jersey,1.0,0.0,1.0,,sustainable,2021
313727,2219,2018-01-30 14:24:42+00:00,958345229719031809,Feia més de 30 anys que no nevava sobre les palmeres de Ouarzazate al Marroc .. i nosaltres que? També en volem . Video: Konstantinos Pistikos  ExtremeWeather snow Morocco TenimEnveja   ,MeteoBarrufet,False,50146.0,Catalunya,0.0,1.0,3.0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/958344645620260864/pu/img/iJ_YZI3YKgN3nujW.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/958344645620260864/pu/vid/640x360/72h_PvdCzWBFgwVu.mp4', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/958344645620260864/pu/vid/320x180/Myw9PfGvC74AbAsW.mp4', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/958344645620260864/pu/pl/_oqI--4ZiAw_S8Gg.m3u8', bitrate=None)], duration=24.117, views=77)]",extremeweather,2018
575680,6170,2020-03-02 22:32:46+00:00,1234607608058667008,",   A GreenNewDeal movement will take all of us working together, giving what we can and asking for what we need.   Help us by donating and sharing this video  w/someone in a SuperTuesday state.  Bernie2020 GND ClimateCrisis ClimateChange   ",BJ01123,False,425.0,,0.0,0.0,0.0,,ClimateCrisis,2020
816309,3958,2021-04-20 12:29:42+00:00,1384484417360613378,"Global carbon emissions are poised to soar in 2021, largely due to Chinas addiction to coal-fired power plants.   You cant really be tough on China if youre soft on Coal.  China ClimateAction climate cleanenergy EarthDay EcoRight coal carbonemissions",JohnHSweeney,False,812.0,"New York, NY",0.0,0.0,1.0,,carbonemissions,2021
343848,5111,2020-07-12 17:01:50+00:00,1282359523672555520,Check our Tornado Myths and Safety Tips posts to learn a little more about this power of nature.  weatherbug knowbefore wx weather NOAA NWS Tornado myths saftytips Stormchasers severeweather extremeweather mothernature mysteriousnature amazingearth forceofnature  ,WeatherBug,False,36572.0,"New York, NY",0.0,2.0,2.0,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1282358118211563527/pu/img/RjUxNdnmvwtcwVFd.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1282358118211563527/pu/vid/1280x720/USMXf3FONTh-wtrx.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1282358118211563527/pu/vid/480x270/6fVQVD86F4OgntlE.mp4?tag=10', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1282358118211563527/pu/vid/640x360/W6w9NdWJE92hlmaW.mp4?tag=10', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1282358118211563527/pu/pl/r0aG-M5svEXkKYLK.m3u8?tag=10', bitrate=None)], duration=39.734, views=170)]",extremeweather,2020
70687,34189,2019-12-08 23:24:23+00:00,1203817629116510209,"    Right... because even though a fetus can live born prematurely at 18weeks, its just a piece of tissue ... Science has improved A lot since roe v wade and further supports that life begins and is sustainable earlier In gestation than believed in 1973.",Wearethenews1,False,670.0,,0.0,0.0,4.0,,sustainable,2019
72148,35650,2019-12-23 23:35:22+00:00,1209256213264748545,"      Bern is one of saying ""transition"" Maduro RegimeChange, 'Russia Russia,' and same mediocre sustainable by 2050 climate plan.. (tho Bern goes furthuh: housing. Making CLIMATE harder to address, implement, and frankly not focused on distributing worldwide efficient energy OFFAct)",demservative,False,619.0,,0.0,0.0,0.0,,sustainable,2019
312713,1205,2018-01-14 11:58:41+00:00,952510275135131648,"WOW! Spectacular gorgeous view of the NorthernLights Auroraborealis seen last night from Tromsø, Norway. extremeweather stormhour SevereWeather Photo: Markus Varik  ",StormchaserUKEU,False,62025.0,"(Kent, U.K / World",2.0,23.0,74.0,"[Photo(previewUrl='https://pbs.twimg.com/media/DTf_Cq3WsAAn2Pa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DTf_Cq3WsAAn2Pa?format=jpg&name=large')]",extremeweather,2018
410592,10217,2018-12-12 21:49:23+00:00,1072971703138033664,  climate change dwarves the EU debacle. Declare a climate emergency and end trading oil. ;-)  ,DerrickKnight1,False,231.0,"Althorpe St. L. Spa., England",0.0,0.0,0.0,,ClimateEmergency,2018
566548,33478,2019-12-02 23:27:01+00:00,1201643963482017793,      So what is your solution Senator for the ClimateCrisis?,daviddela79,False,105.0,,0.0,0.0,0.0,,ClimateCrisis,2019
870332,650,2021-01-11 07:12:42+00:00,1348528243662594048,Grt campaign to help schools to go carbonneutral supported by   letsgozero  ,Green_Wise,False,1912.0,UK,0.0,0.0,0.0,"[Photo(previewUrl='https://pbs.twimg.com/media/ErbvSRpW8AEy0v-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ErbvSRpW8AEy0v-?format=jpg&name=large')]",carbonneutral,2021
405171,4796,2018-09-30 09:14:15+00:00,1046327353633206272,Hi     Our ambitious lycée project The Ecological-Climate Emergency aims to inform and inspire our pupils and find other schools willing to join us.  Were heading for a dire 3C calamity - will you help?  Contact:    Ben  ,ClimateBen,False,110815.0,"Paris, France",0.0,0.0,0.0,,ClimateEmergency,2018
106232,33234,2020-11-28 23:44:10+00:00,1332832687669776385,    The flaw in your assumption is to think UK will on day one scale up to replace EU fishing fleet  Why would we ?  We don't need to !  UK can benefit by catching a fraction of the total EU take  We will develop sustainable environmentally friendly fishing policy for our own waters,owainpj,False,772.0,"London, England",2.0,0.0,0.0,,sustainable,2020
